ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,Depth,Method,Block,Quadrat # (m),Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12:00,,Quadrat,"0, 1, 2",,,2,3,1524,4,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160,,,,,,,,,,,,,,,,,,,,
1,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,48,Pmi,Patiria miniata,Bat star,4,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,48,Mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,32,Mfra,Mesocentrotus franciscanus,Red sea urchin,11,0,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,32,Pmi,Patiria miniata,Bat star,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,16,Pmi,Patiria miniata,Bat star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,16,Mfra,Mesocentrotus franciscanus,Red sea urchin,8,0,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,16,Poc,Pisaster ochraceus,Unidentified star??,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,0,Mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jasmin Schuster,Tom Bird,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1,NW,10:10,7.5,2,1,0,Pmi,Patiria miniata,Bat star,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
