Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
48.940000,-124.990000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,2.71
48.830000,-125.390000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.36
48.910000,-125.490000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,3,6.49
48.920000,-125.010000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,3.45
48.900000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,2,0.89
48.910000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.18
48.860000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.87
48.940000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,1.07
48.940000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,18.85
48.840000,-125.370000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.03
48.900000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.18
48.880000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,1.16
48.880000,-125.300000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.44
48.950000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.56
48.860000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,3,3.03
48.810000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,4.85
48.790000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.77
48.840000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,2,2.73
48.880000,-125.090000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.98
48.930000,-125.200000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,3.44
48.950000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.61
48.880000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,6.92
48.880000,-125.300000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.88
48.980000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.69
48.900000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.51
48.880000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.33
48.920000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,4,27.82
48.920000,-125.490000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,3.03
48.930000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,3,4.00
48.950000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,1.08
48.950000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trollers,1,1.64
48.970000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,3.31
48.990000,-125.340000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,4.27
48.910000,-125.350000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.14
48.910000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.80
48.860000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.96
48.870000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.60
48.910000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.92
48.910000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.93
48.890000,-125.080000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.91
48.890000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,2,19.07
48.940000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,1.31
48.860000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.06
48.900000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.27
48.860000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.54
48.880000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,2.94
48.920000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.86
48.890000,-125.060000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.24
48.940000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,3.18
48.880000,-125.060000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.03
