site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,Rhinogobiops nicholsii,12.5,1,36.9044,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,7.5,1,7.7132,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,10,3,56.7762,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,12.5,1,37.9668,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,1,67.0579,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,3,450.0609,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,1,232.1561,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon elongatus,Ophiodon elongatus,35,1,231.3251,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius pictus,Oxylebius pictus,10,1,21.4147,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,10,1,21.0804,POINT (-125.19999694824219 48.849998474121094)
