# data_column_name,cf_standard_name,long_name,imos_vocabulary_name,unit_name,unit_short_name
# abundance,number_concentration_of_biological_taxon_in_sea_water,taxonomic level abundance,Abundance of biota,,
# area,,state/territory where the survey was conducted,,,
# avg_rugosity,,average roughness of the floor surface,,,
# biomass,,estimated biomass,,Grams,g
# block,,number of the block ,,,
# category,,sub-class of the annotation schema,,,
# class,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# common_class_name,,common name of the taxonomic rank,,,
# common_family_name,,common name of the taxonomic rank,,,
# common_name,,common name of the taxonomic rank,,,
# common_phylum_name,,common name of the taxonomic rank,,,
# country,,country where the survey was conducted,,,
# currents,,currents index,,,
# depth,depth,,Depth below surface of the water body,Metres,m                                                                                                             
# direction,,compass direction,True bearing,,
# ecoregion,,ecological region where the survey was conducted,,,
# family,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# frequency,,rarity index frequency of the species,,,
# genus,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# has pqs catalogued in db,,survey has Photos Quadrats catalogued in database,,,
# has pq scores in db,,survey has Photo Quadrat scores in database,,,
# has rugosity scores in db,,survey has rugosity scores in database,,,
# hour,time,local time of sample collection,,,
# latest surveydate for site,,latest survey date at the site,,,
# latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# lat_zone,,latitudinal zone (eg. tropical/temperate/polar),,,
# location,,city/council where the survey was conducted,,,
# longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# major_category,,class of the annotation schema,,,
# max_length,,maximum length of the species,,Centimetres,cm
# max_rugosity,,maximum roughness of the floor surface,,,
# method,,identifier for method applied to collect the observation,,,
# methods,,list of methods applied to collect the survey observations,,,
# mpa,,Marine Protected Area,,,
# num_points,,number of points associated to the observed item,,,
# old_site_codes,,previous codes of the site, now updated to [site_code],,,
# order,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# percent_cover,,percentage of the surface covered by the observed item,,Percent,%                                                                                                             
# phylum,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# pq_zip_url,,url for the Photo Quadrat zip file,,,
# program,,acronym identifying the program(s) - RLS or ATRC,,,
# programs,,acronym identifying the program(s) - RLS or ATRC,,,
# province,,ecological province where the survey was collected,,,
# quadrat,,Quadrat number,,,
# range,,rarity index range of the species,,Kilometres,km
# realm,,realm where the survey was conducted,,,
# recorded_species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# relief,,relief index,,,
# reporting_name,,reporting name for the observed species,,,
# resolution,,annotation schema,,,
# site_code,,code for the survey site,,,
# site_name,,name of the survey site,,,
# size_class,,size class,,Centimetres,cm
# slope,,slope index,,,
# species_id,,species identifier,,,
# species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# superseded_ids,,species identifier of the superseded species,,,
# superseded_names,,name of the superseded species,,,
# surface,,type of substrate,,,
# survey_date,,local date,,Date,yyyy-mm-dd
# survey_id,,survey identification number,,,
# survey_latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# survey_longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# survey_notes,,additional notes about the survey,,,
# taxon,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# total,,total number of observations,,,
# total_points,,total number of point counted in the Quadrat,,,
# visibility,,the distance in water at which something can be seen,,Metres,m                                                                                                             
# wave_exposure,,wave exposure index,,,

FID,country,area,location,site_code,site_name,old_site_codes,latitude,longitude,realm,province,ecoregion,lat_zone,programs,geom
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e95,Canada,British Columbia,Vancouver Island,BMSC23,Aguilar Point,,48.84,-125.14,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.14 48.84)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e94,Canada,British Columbia,Vancouver Island,BMSC15,Raymond Kelp Rock,,48.88,-125.31,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.31 48.88)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e93,Canada,British Columbia,Vancouver Island,BMSC16,Faber Islets,,48.89,-125.3,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.3 48.89)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e92,Canada,British Columbia,Vancouver Island,BMSC18,Eussen Rock,,48.91,-125.27,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.27 48.91)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e91,Canada,British Columbia,Vancouver Island,BMKC1,Dixon Bay 2,,48.85,-125.12,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.12 48.85)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e90,Canada,British Columbia,Vancouver Island,BMKC2,Tzartus 116 R,,48.9,-125.08,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.08 48.9)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e8f,Canada,British Columbia,Vancouver Island,BMSC1,Dodger Channel,,48.83,-125.2,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.2 48.83)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e8e,Canada,British Columbia,Vancouver Island,BMSC10,Ross Islets Slug Island,KCCA1,48.87,-125.16,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.16 48.87)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e8d,Canada,British Columbia,Vancouver Island,BMSC11,Wizard Island South,,48.86,-125.16,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.16 48.86)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e8c,Canada,British Columbia,Vancouver Island,BMSC12,Wizard Island North,,48.86,-125.16,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.16 48.86)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e8b,Canada,British Columbia,Vancouver Island,BMSC13,Effingham West,,48.87,-125.31,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.31 48.87)
ep_site_list_public_data.fid-54e28aac_191fc324609_-7e8a,Canada,British Columbia,Vancouver Island,BMSC14,Effingham Archipelago,,48.88,-125.3,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.3 48.88)
