# data_column_name,cf_standard_name,long_name,imos_vocabulary_name,unit_name,unit_short_name
# abundance,number_concentration_of_biological_taxon_in_sea_water,taxonomic level abundance,Abundance of biota,,
# area,,state/territory where the survey was conducted,,,
# avg_rugosity,,average roughness of the floor surface,,,
# biomass,,estimated biomass,,Grams,g
# block,,number of the block ,,,
# category,,sub-class of the annotation schema,,,
# class,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# common_class_name,,common name of the taxonomic rank,,,
# common_family_name,,common name of the taxonomic rank,,,
# common_name,,common name of the taxonomic rank,,,
# common_phylum_name,,common name of the taxonomic rank,,,
# country,,country where the survey was conducted,,,
# currents,,currents index,,,
# depth,depth,,Depth below surface of the water body,Metres,m                                                                                                             
# direction,,compass direction,True bearing,,
# ecoregion,,ecological region where the survey was conducted,,,
# family,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# frequency,,rarity index frequency of the species,,,
# genus,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# has pqs catalogued in db,,survey has Photos Quadrats catalogued in database,,,
# has pq scores in db,,survey has Photo Quadrat scores in database,,,
# has rugosity scores in db,,survey has rugosity scores in database,,,
# hour,time,local time of sample collection,,,
# latest surveydate for site,,latest survey date at the site,,,
# latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# lat_zone,,latitudinal zone (eg. tropical/temperate/polar),,,
# location,,city/council where the survey was conducted,,,
# longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# major_category,,class of the annotation schema,,,
# max_length,,maximum length of the species,,Centimetres,cm
# max_rugosity,,maximum roughness of the floor surface,,,
# method,,identifier for method applied to collect the observation,,,
# methods,,list of methods applied to collect the survey observations,,,
# mpa,,Marine Protected Area,,,
# num_points,,number of points associated to the observed item,,,
# old_site_codes,,previous codes of the site, now updated to [site_code],,,
# order,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# percent_cover,,percentage of the surface covered by the observed item,,Percent,%                                                                                                             
# phylum,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# pq_zip_url,,url for the Photo Quadrat zip file,,,
# program,,acronym identifying the program(s) - RLS or ATRC,,,
# programs,,acronym identifying the program(s) - RLS or ATRC,,,
# province,,ecological province where the survey was collected,,,
# quadrat,,Quadrat number,,,
# range,,rarity index range of the species,,Kilometres,km
# realm,,realm where the survey was conducted,,,
# recorded_species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# relief,,relief index,,,
# reporting_name,,reporting name for the observed species,,,
# resolution,,annotation schema,,,
# site_code,,code for the survey site,,,
# site_name,,name of the survey site,,,
# size_class,,size class,,Centimetres,cm
# slope,,slope index,,,
# species_id,,species identifier,,,
# species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# superseded_ids,,species identifier of the superseded species,,,
# superseded_names,,name of the superseded species,,,
# surface,,type of substrate,,,
# survey_date,,local date,,Date,yyyy-mm-dd
# survey_id,,survey identification number,,,
# survey_latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# survey_longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# survey_notes,,additional notes about the survey,,,
# taxon,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# total,,total number of observations,,,
# total_points,,total number of point counted in the Quadrat,,,
# visibility,,the distance in water at which something can be seen,,Metres,m                                                                                                             
# wave_exposure,,wave exposure index,,,

FID,survey_id,country,area,location,site_code,site_name,latitude,longitude,depth,survey_date,latest_surveydate_for_site,has_pq_scores_in_db,has_rugosity_scores_in_db,has_pqs_catalogued_in_db,visibility,hour,direction,survey_latitude,survey_longitude,avg_rugosity,max_rugosity,surface,program,pq_zip_url,old_site_codes,methods,geom
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e6c,923400139,Canada,British Columbia,Vancouver Island,BMSC13,Effingham West,48.87,-125.31,4.8,2021-05-04,false,false,false,true,4,10:30:00,W,,,,,,RLS,http://rls.tpac.org.au/pq/923400139/zip/,,"0, 1, 2",POINT (-125.30999755859375 48.869998931884766)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e6b,923401182,Canada,British Columbia,Vancouver Island,BMSC13,Effingham West,48.87,-125.31,4.5,2022-04-26,true,false,false,true,2,10:20:00,W,,,,,,RLS,http://rls.tpac.org.au/pq/923401182/zip/,,"0, 1, 2",POINT (-125.30999755859375 48.869998931884766)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e6a,923401180,Canada,British Columbia,Vancouver Island,BMSC14,Effingham Archipelago,48.88,-125.3,7,2022-04-26,true,false,false,true,2,14:10:00,SE,,,,,,RLS,http://rls.tpac.org.au/pq/923401180/zip/,,"0, 1, 2",POINT (-125.30000305175781 48.880001068115234)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e69,923400148,Canada,British Columbia,Vancouver Island,BMSC14,Effingham Archipelago,48.88,-125.3,6,2021-05-04,false,false,false,true,4,13:00:00,SE,,,,,,RLS,http://rls.tpac.org.au/pq/923400148/zip/,,"0, 1, 2",POINT (-125.30000305175781 48.880001068115234)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e68,923400158,Canada,British Columbia,Vancouver Island,BMSC15,Raymond Kelp Rock,48.88,-125.31,7,2021-05-04,false,false,false,true,2,14:30:00,SW,,,,,,RLS,http://rls.tpac.org.au/pq/923400158/zip/,,"0, 1, 2",POINT (-125.30999755859375 48.880001068115234)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e67,923401202,Canada,British Columbia,Vancouver Island,BMSC15,Raymond Kelp Rock,48.88,-125.31,7.5,2022-04-26,true,false,false,true,3,12:10:00,SW,,,,,,RLS,http://rls.tpac.org.au/pq/923401202/zip/,,"0, 1, 2",POINT (-125.30999755859375 48.880001068115234)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e66,923401184,Canada,British Columbia,Vancouver Island,BMSC16,Faber Islets,48.89,-125.3,5.5,2022-04-27,true,false,false,true,2,12:40:00,NW,,,,,,RLS,http://rls.tpac.org.au/pq/923401184/zip/,,"0, 1, 2",POINT (-125.30000305175781 48.88999938964844)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e65,923400152,Canada,British Columbia,Vancouver Island,BMSC16,Faber Islets,48.89,-125.3,6,2021-05-05,false,false,false,true,3,10:35:00,NW,,,,,,RLS,http://rls.tpac.org.au/pq/923400152/zip/,,"0, 1, 2",POINT (-125.30000305175781 48.88999938964844)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e64,923400151,Canada,British Columbia,Vancouver Island,BMSC17,Wouwer Channel,48.87,-125.36,5,2021-05-05,false,false,false,true,3,12:45:00,NE,,,,,,RLS,http://rls.tpac.org.au/pq/923400151/zip/,,"0, 1, 2",POINT (-125.36000061035156 48.869998931884766)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e63,923401183,Canada,British Columbia,Vancouver Island,BMSC17,Wouwer Channel,48.87,-125.36,5,2022-04-27,true,false,false,true,2,10:40:00,NE,,,,,,RLS,http://rls.tpac.org.au/pq/923401183/zip/,,"0, 1, 2",POINT (-125.36000061035156 48.869998931884766)
ep_survey_list_public_data.fid-54e28aac_191fc324609_-7e62,923400145,Canada,British Columbia,Vancouver Island,BMSC18,Eussen Rock,48.91,-125.27,7.5,2021-05-05,false,false,false,true,4,14:45:00,SW,,,,,,RLS,http://rls.tpac.org.au/pq/923400145/zip/,,"0, 1, 2",POINT (-125.2699966430664 48.90999984741211)
