Lat,Long
48°55.329'N,125°19.300'W
48°55.767'N,125°17.600'W
48°56.533'N,125°16.537'W
48°56.400' N,125°15.867'W
48°56.300'N,125°15.600'W
48°55.463'N,125°15.200'W
48°55.056'N,125°15.200'W
48°54.767'N,125°15.767'W
48°54.400'N,125°15.767'W
48°54.275'N,125°15.833'W
48°53.500'N,125°16.600'W
48°52.853'N,125°18.600'W
48°52.000'N,125°19.000'W
48°51.900'N,125°19.000'W
48°51.300'N,125°20.283'W
48°51.733'N,125°20.817'W
48°51.733'N,125°21.186'W
48°51.850'N,125°22.100'W
48°52.833'N,125°22.622'W
48°53.317'N,125°22.376'W
48°54.243'N,125°22.376'W
48°54.472'N,125°22.400'W
48°55.400'N,125°20.650'W
