Transect,Photo#,photo score,transect score,#urchins,#snails,primary_sub,secondary_sub,,"Notes (% cover for each, other important things to know etc.)",,Total snails,Real total snails,,Total snails,real total snails
BMSC26_CMA6.5m24042024HosieSouth,3,4,"4, 2",0,2,7,1,,51% solid rock and 49% kelp. Snails on solid rock -- ok vis,,4,85,,4,85
BMSC26_CMA6.5m24042024HosieSouth,4,4,"4, 2",0,0,1,7,,60% kelp beside what appears to be a solid rock wall ---low vis,,,,,2,68
BMSC26_CMA6.5m24042024HosieSouth,5,2,"4, 2",0,0,2,7,,90% sand with some slight solid rock poking through -- low to ok vis,,,,,15,3
BMSC26_CMA6.5m24042024HosieSouth,6,4,"4, 2",0,0,7,1,,51% solid rock with some kelp over sand---ok vis,,,,,7,33
BMSC26_CMA6.5m24042024HosieSouth,7,4,"4, 2",0,0,7,1,,90% solid rock with small patches of kelp and sand -- low vis,,,,,27,99
BMSC26_CMA6.5m24042024HosieSouth,8,2,"4, 2",0,0,1,2,,60% kelp with two pockets of sand---very low vis,,,,,23,262
BMSC26_CMA6.5m24042024HosieSouth,9,2,"4, 2",0,0,1,2,,80% kelp with one pocket of sand -- very low vis --- macro visible,,,,,190,274
BMSC26_CMA6.5m24042024HosieSouth,10,2,"4, 2",0,0,1,2,,60% kelp with large pocket of sand and some solid rock --- very low vis,,,,,12,17
BMSC26_CMA6.5m24042024HosieSouth,11,4,"4, 2",0,0,2,7,,"60% sand covering with 20% solid rock poking through, also some kelp and stipes -- ok vis",,,,,137,362
BMSC26_CMA6.5m24042024HosieSouth,12,2,"4, 2",0,0,2,1,,"70% sand with 20% kelp, some granule/pebble --- low to ok vis",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,13,4,"4, 2",0,0,7,2,,"50% solid rock outcrop, 30% sand, some kelp thalli --- low to ok vis",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,14,2,"4, 2",0,0,1,2,,"75% kelp, 25% sand --- very low vis, but dark green region that seems indicative of kelp",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,15,Only Kelp,"4, 2",0,0,1,5,,"95% kelp, one or two pebbles visible --- low to ok vis",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,16,Only Kelp,"4, 2",0,0,1,2,,99% kelp with tiny patch of sand visibile --- low to ok vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,17,3,"4, 2",0,1,5,1,,"75% large cobble, 20% kelp/algae, 5% sand -- ok vis",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,18,3,"4, 2",0,0,1,5,,60% kelp and 40% cobble --- low vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,19,3,"4, 2",0,0,1,4,,95% kelp and a couple of pebbles --- ok vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,20,3,"4, 2",0,0,1,5,,95% kelp and a couple of pebbles --- ok vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,21,4,"4, 2",0,0,1,7,,60% kelp and 40% solid rock--- ok vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,22,Only Kelp,"4, 2",0,0,1,2,,"80% kelp and 10% sand, a couple of pebbles --- ok vis",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,23,4,"4, 2",0,0,7,1,,"70% solid rock, 10% kelp 5% sand and 5% pebble --- ok vis",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,24,2,"4, 2",0,0,2,1,,"40% sand 40% kelp 20% solid rock --- low vis,  maybe a couple snails but too murky to be sure",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,25,2,"4, 2",0,0,2,1,,60% kelp and 40% sand --- low vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,26,2,"4, 2",0,0,1,2,,95% kelp and one tiny patch of sand --- low vis (dark),,,,,,
BMSC26_CMA6.5m24042024HosieSouth,27,3,"4, 2",0,0,1,5,,"90% kelp and 8% cobble, very little sand --- low vis",,,,,,
BMSC26_CMA6.5m24042024HosieSouth,28,3,"4, 2",0,0,1,4,,99% kelp with two pebbles --- low vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,29,3,"4, 2",0,0,1,5,,95% kelp with a couple of large cobbles --- low vis,,,,,,
BMSC26_CMA6.5m24042024HosieSouth,30,4,"4, 2",0,0,7,2,,80% solid rock with 10% sand and just slightly less kelp --- low vis,,,,,,
