Transect,site_code,depth,Photo_num,photo_score,transect_score,dominant_score,secondary_score
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,3,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,4,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,5,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,6,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,7,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,8,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,9,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,10,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,11,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,12,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,13,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,14,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,15,Only Kelp,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,16,Only Kelp,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,17,3,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,18,3,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,19,3,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,20,3,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,21,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,22,Only Kelp,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,23,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,24,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,25,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,26,2,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,27,3,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,28,3,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,29,3,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,30,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,31,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,32,4,"4, 2",4,2
BMSC26_CMA6.5m24042024HosieSouth,BMSC26,6.5,33,4,"4, 2",4,2
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,3,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,4,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,5,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,6,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,7,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,8,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,9,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,10,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,11,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,12,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,13,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,14,2,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,15,,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,16,3,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,17,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,18,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,19,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,20,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,21,3,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,22,3,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,23,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,24,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,25,4,"4, 3",4,3
BMSC27_VDG8.5m3052024SanJoseNorthIsland,BMSC27,8.5,26,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,3,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,4,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,5,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,6,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,7,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,8,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,9,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,10,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,11,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,12,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,13,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,14,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,15,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,16,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,17,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,18,3,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,19,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,20,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,21,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,22,4,"4, 3",4,3
BMSC6_EGL11m22042024BaeriaRocksSouth,BMSC6,11.0,23,4,"4, 3",4,3
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,2,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,3,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,4,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,5,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,6,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,7,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,8,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,9,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,10,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,11,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,12,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,13,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,14,3,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,15,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,16,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,17,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,18,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,19,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,20,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,21,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,22,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,23,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,24,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,25,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,26,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,27,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,28,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,29,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,30,3,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,31,2,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,32,4,"4, 2",4,2
BMSC11_CMA7.5m26042024WizardIslandSouth,BMSC11,7.5,33,4,"4, 2",4,2
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,4,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,5,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,6,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,7,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,8,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,9,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,10,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,11,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,12,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,13,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,14,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,15,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,16,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,17,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,18,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,19,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,20,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,21,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,22,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,23,4,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,24,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,25,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,26,3,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,27,not visible,"4, 3",4,3
BMSC6_TB9m22042024BaeriaRocksSouth,BMSC6,8.0,28,4,"4, 3",4,3
BMSC11_TB5m26042024WizardS,BMSC11,5.0,3,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,4,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,5,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,6,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,7,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,8,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,9,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,10,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,11,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,12,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,13,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,14,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,15,2,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,16,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,17,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,18,4,"4, 2",4,2
BMSC11_TB5m26042024WizardS,BMSC11,5.0,19,4,"4, 2",4,2
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,2,3,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,3,3,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,4,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,5,3,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,6,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,7,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,8,3,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,9,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,10,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,11,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,12,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,13,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,14,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,15,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,16,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,17,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,18,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,19,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,20,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,21,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,22,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,23,4,"4, 3",4,3
BMSC1_CMA5m25042024DodgerChannel,BMSC1,5.0,24,4,"4, 3",4,3
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,3,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,4,4,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,5,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,6,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,7,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,8,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,9,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,10,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,11,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,12,4,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,13,4,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,14,4,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,15,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,16,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,17,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,18,4,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,19,4,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,20,4,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,21,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,22,3,"3, 4",3,4
BMSC25_EGL6m23042024GobyTown,BMSC25,6.0,23,4,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,4,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,5,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,6,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,7,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,8,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,9,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,10,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,11,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,12,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,13,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,14,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,15,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,16,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,17,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,18,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,19,3,"3, 4",3,4
BMSC8_TB7m22042024BaeriaRocksNorth,BMSC8,7.5,20,3,"3, 4",3,4
