Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.880000,-125.310000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,16.37
48.960000,-125.030000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,2.51
48.930000,-125.220000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",5,5.60
48.900000,-125.440000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,2.11
48.830000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.55
48.940000,-125.300000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.38
48.890000,-125.110000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.73
48.930000,-125.150000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.30
48.910000,-125.490000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,4.12
48.920000,-125.480000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.28
48.850000,-125.150000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.77
48.910000,-125.230000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.05
48.890000,-125.070000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.55
48.960000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.01
48.980000,-125.340000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.97
48.980000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.28
48.920000,-125.320000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,11.76
48.920000,-125.020000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.07
48.910000,-125.460000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.52
48.800000,-125.360000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.77
48.920000,-125.370000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.74
48.800000,-125.200000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,21.99
48.890000,-125.120000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,11.13
48.960000,-125.180000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,48.53
48.860000,-125.120000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,10.74
48.920000,-125.220000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",6,48.60
48.890000,-125.510000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.05
48.920000,-125.500000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.31
48.910000,-125.250000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,30.60
48.840000,-125.380000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.96
48.950000,-125.040000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,2.48
48.860000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.98
48.850000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.96
48.940000,-125.430000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,4.04
48.870000,-125.360000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.65
48.880000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",5,9.51
48.820000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.90
48.860000,-125.190000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.26
48.930000,-125.210000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,2.82
48.900000,-125.490000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.77
49.000000,-125.360000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.28
48.940000,-125.320000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.01
48.990000,-125.160000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.40
48.940000,-125.240000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,7.81
48.840000,-125.130000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,4.15
48.950000,-125.260000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.64
48.890000,-125.310000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.23
48.870000,-125.240000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.16
48.850000,-125.310000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,4.08
48.880000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,25.03
48.810000,-125.350000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.50
48.860000,-125.300000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,2.25
48.800000,-125.190000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,23.73
48.800000,-125.220000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,4.01
48.830000,-125.140000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",5,38.57
48.990000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.07
48.950000,-125.320000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.97
48.950000,-125.000000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,26.53
48.930000,-125.030000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.07
48.950000,-125.220000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,57.47
48.890000,-125.500000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.66
48.950000,-125.430000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.00
48.900000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.87
48.970000,-125.080000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.61
48.870000,-125.280000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.87
48.910000,-125.110000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.93
48.910000,-125.130000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.13
48.870000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,4.68
48.960000,-125.050000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.22
48.810000,-125.230000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.01
48.900000,-125.420000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.20
48.970000,-125.350000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.50
48.910000,-125.260000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.74
48.940000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.30
48.960000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.03
48.850000,-125.370000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.83
48.930000,-125.440000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.26
48.940000,-125.000000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,6.04
48.920000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.65
48.970000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.98
48.910000,-125.500000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.09
48.950000,-125.030000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.77
48.920000,-125.490000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,4.07
48.880000,-125.420000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.66
48.940000,-125.090000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,1.82
48.860000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,5.30
48.960000,-125.010000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.04
48.960000,-125.020000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.80
