Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.810000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,10.90
48.970000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,4.50
48.960000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.30
48.870000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.13
48.870000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.60
48.860000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,6.31
48.940000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,2.53
48.940000,-125.100000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.82
48.920000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",6,31.10
48.860000,-125.380000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.91
48.910000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,11.21
48.870000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.85
48.880000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.02
48.920000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",7,23.75
48.840000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.40
48.890000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",5,31.66
48.890000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.97
48.850000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,8.92
48.900000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,0.27
48.880000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.46
48.960000,-125.080000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,3.30
48.970000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,3.19
48.840000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",5,12.96
48.930000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,6.08
48.910000,-125.350000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.14
48.940000,-125.020000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.96
48.950000,-125.000000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",5,46.29
48.880000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,3.93
48.840000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.61
48.930000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.02
48.930000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,11.30
48.940000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.40
48.990000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.22
48.890000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.43
48.970000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.16
48.940000,-125.200000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,3.56
48.860000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",6,4.37
48.830000,-125.370000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.51
48.920000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.87
48.820000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,17.95
48.840000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,2.58
48.890000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.00
48.850000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,3.27
48.880000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,2.39
48.840000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,27.65
48.950000,-124.990000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,19.88
48.880000,-125.100000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,2.38
48.920000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.57
48.960000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,10.13
48.880000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,8.24
48.790000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.77
48.960000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.38
48.930000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.79
48.930000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,5.87
48.970000,-125.090000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,3.24
48.840000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,6.80
48.880000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.16
48.870000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,6.16
48.960000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.45
48.870000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.78
48.970000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.11
48.900000,-125.260000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,7.14
48.820000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.12
48.890000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.11
48.890000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,5.19
48.940000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.31
48.930000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.89
48.910000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,9.60
48.850000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.93
48.920000,-125.020000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.88
48.900000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,0.68
48.860000,-125.300000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.31
48.840000,-125.260000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.50
48.940000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,2.25
48.950000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,4.31
48.870000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.01
48.890000,-125.410000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.21
