Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.940000,-125.430000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,4.78
48.840000,-125.360000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.92
48.880000,-125.290000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,8.04
48.910000,-125.300000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.23
48.850000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.49
48.880000,-125.210000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.40
48.930000,-125.450000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",5,7.21
48.840000,-125.240000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.50
48.840000,-125.160000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",4,30.36
48.880000,-125.110000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,14.23
48.860000,-125.150000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,4.07
48.810000,-125.210000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,5.65
48.940000,-125.410000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.47
48.950000,-125.350000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.69
48.920000,-125.470000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.25
48.870000,-125.120000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",4,26.09
48.950000,-125.400000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.27
48.850000,-125.320000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,5.86
48.860000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.96
48.810000,-125.270000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.05
48.810000,-125.400000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.94
48.790000,-125.240000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,2.18
48.790000,-125.250000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,5.35
48.880000,-125.250000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.26
48.900000,-125.500000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.08
48.910000,-125.150000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.87
48.910000,-125.480000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.32
48.840000,-125.340000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.58
48.920000,-125.330000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,27.00
48.860000,-125.300000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.00
48.960000,-125.370000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.03
48.880000,-125.500000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.01
48.870000,-125.380000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.46
48.800000,-125.280000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,8.80
48.860000,-125.140000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,23.37
48.830000,-125.380000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.89
48.940000,-125.420000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,0.75
48.960000,-125.040000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.39
48.850000,-125.150000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",4,37.29
48.810000,-125.280000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.43
48.790000,-125.280000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,4.45
48.920000,-125.460000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.18
48.800000,-125.230000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.46
48.860000,-125.110000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.12
48.810000,-125.190000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.24
48.920000,-125.050000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.07
48.870000,-125.230000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,3.58
48.940000,-125.390000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.19
