Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2019,11,01,00, 1440, 5.02,113.57, 80.71,357.08
2019,11,02,00, 1440, 1.61,108.84, 77.83,356.09
2019,11,03,00, 1438, 2.24,143.93, 81.71,360.00
2019,11,04,00, 1440,104.88,146.83, 71.21,357.69
2019,11,05,00, 1440, 5.00,152.47, 82.35,346.17
2019,11,06,00, 1440, 2.74, 97.65, 86.13,360.00
2019,11,07,00, 1440, 5.00, 88.04, 89.16,354.54
2019,11,08,00, 1440, 7.17,122.57, 51.04,355.00
2019,11,09,00, 1440, 0.34, 12.70,125.55,360.00
2019,11,10,00, 1440, 0.32, 99.69, 86.32,360.00
2019,11,11,00, 1440, 3.70,129.28, 73.92,360.00
2019,11,12,00, 1440, 0.10,348.60,116.73,359.52
2019,11,13,00, 1440, 0.21,111.11, 78.11,359.59
2019,11,14,00, 1440, 0.75,125.71, 78.93,359.15
2019,11,15,00, 1440, 4.10,158.92, 53.92,356.71
2019,11,16,00, 1440,22.28,128.64, 26.52,327.52
2019,11,17,00, 1440,30.72,160.63, 50.05,353.85
2019,11,18,00, 1440, 0.20, 80.10,109.99,360.00
2019,11,19,00, 1440, 0.88, 76.03, 97.61,360.00
2019,11,20,00, 1440,52.00,106.18, 73.55,327.11
2019,11,21,00, 1440, 0.18, 85.22, 87.28,360.00
2019,11,22,00, 1440,12.00, 79.43, 96.86,359.82
2019,11,23,00, 1440, 1.08,152.49, 68.35,357.20
2019,11,24,00, 1440, 0.41,223.10, 83.25,359.47
2019,11,25,00, 1440, 1.86, 99.49, 77.95,357.65
2019,11,26,00, 1440, 0.10, 32.65,132.46,360.00
2019,11,27,00, 1440, 0.09, 15.57,139.71,359.85
2019,11,28,00, 1440, 0.21, 21.59,140.30,360.00
2019,11,29,00, 1440,21.80,101.40, 69.32,350.47
2019,11,30,00, 1440, 0.07, 72.47,109.93,360.00
