Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2014,04,01,00, 1438, 1.93,191.29,102.13,360.00
2014,04,02,00, 1440,16.09,148.69, 43.64,346.68
2014,04,03,00, 1440, 2.32,153.01, 67.00,360.00
2014,04,04,00, 1440,58.98,182.24, 51.56,356.40
2014,04,05,00, 1440,40.00,161.10, 75.37,342.00
2014,04,06,00, 1440,13.00,139.99, 93.87,358.69
2014,04,07,00, 1440, 0.33,153.78, 85.29,359.09
2014,04,08,00, 1440, 8.36,234.12, 47.26,355.60
2014,04,09,00, 1440, 1.18,184.31, 89.62,360.00
2014,04,10,00, 1440, 1.21,183.32, 79.43,359.91
2014,04,11,00, 1440, 1.29,225.71, 58.83,358.88
2014,04,12,00, 1440, 5.91,196.76, 68.41,355.56
2014,04,13,00, 1440, 1.09,168.71, 82.84,357.50
2014,04,14,00, 1440, 5.00,226.63, 76.69,360.00
2014,04,15,00, 1440, 2.53,177.38, 66.78,360.00
2014,04,16,00, 1440,73.18,174.47, 35.27,265.19
2014,04,17,00, 1440, 1.69,197.55, 78.00,359.82
2014,04,18,00, 1440, 1.42,231.26,104.59,360.00
2014,04,19,00, 1440, 3.45,183.31, 87.39,360.00
2014,04,20,00, 1440,21.00,143.82, 29.88,342.11
2014,04,21,00, 1440, 0.17,214.28, 63.00,357.58
2014,04,22,00, 1440, 8.00,183.45, 68.29,358.92
2014,04,23,00, 1440, 3.65,149.96, 86.03,360.00
2014,04,24,00, 1440,16.95,173.11, 52.49,359.18
2014,04,25,00, 1440, 7.19,202.37, 75.74,358.09
2014,04,26,00, 1440,19.20,145.69, 44.25,342.13
2014,04,27,00, 1440, 5.00,192.29, 58.25,359.80
2014,04,28,00, 1440, 0.96,155.75, 77.85,360.00
2014,04,29,00, 1440, 1.00,286.08,105.66,360.00
2014,04,30,00, 1440, 0.06,341.72,118.92,360.00
