site_code,site_name,latitude,longitude,survey_date,depth,visibility,hour,Urchins,Turban_Snails,urch_sn_ratio,region1
BMSC1,Dodger Channel,48.82894897,-125.1975708,2024-04-25,5,3,14:17:00,452,274,0.2167655081825692,Deer group/Bamfield
BMSC1,Dodger Channel,48.829,-125.191,2024-04-25,6.5,3,14:17:00,264,260,0.006605366598526848,Deer group/Bamfield
BMSC10,Ross Islets Slug Island,48.87051773,-125.160347,2024-04-26,4.5,2,14:06:00,180,7,1.354588587877241,Deer group/Bamfield
BMSC11,Wizard Island South,48.856,-125.152,2024-04-26,5,1.5,11:48:00,661,262,0.40090224094994203,Deer group/Bamfield
BMSC11,Wizard Island South,48.85746765,-125.1582336,2024-04-26,7.5,1.5,11:48:00,400,33,1.0716654555779273,Deer group/Bamfield
BMSC12,Wizard Island North,48.862,-125.16,2024-04-26,4.5,2.5,09:29:00,709,8,1.8970158392797505,Deer group/Bamfield
BMSC12,Wizard Island North,48.858284,-125.165,2024-04-26,7,2,09:29:00,466,34,1.1252488362158366,Deer group/Bamfield
BMSC13,Effingham West,48.8650322,-125.3137207,2024-05-01,3,3,14:53:00,377,645,-0.23274071815785877,Broken Group
BMSC14,Effingham Archipelago,48.87908173,-125.2974014,2024-05-01,6,4,09:49:00,252,165,0.18301243313576285,Broken Group
BMSC15,Raymond Kelp Rock,48.88028336,-125.3128815,2024-05-01,6.5,2.5,12:17:00,5,237,-1.5984257066728682,Broken Group
BMSC16,Faber Islets,48.89070129,-125.300499,2024-05-02,7.5,3,09:50:00,328,62,0.7178553484963927,Broken Group
BMSC17,Wouwer Channel,48.86548233,-125.3614807,2024-05-02,5.8,2.5,15:10:00,171,191,-0.047772781796000675,Broken Group
BMSC18,Eussen Rock,48.91161728,-125.2670364,2024-05-02,8.5,3,11:39:00,185,45,0.6067551125363423,Broken Group
BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,2024-04-25,8.5,3,12:06:00,271,0,2.4345689040341987,Deer group/Bamfield
BMSC2,Kirby,48.85039902,-125.1987686,2024-04-29,4,3.5,14:51:00,472,275,0.2339520586725939,Deer group/Bamfield
BMSC20,Ed King East,48.83566666,-125.214798,2024-04-25,6.7,3.5,09:58:00,475,2,2.2004856980008305,Deer group/Bamfield
BMSC21,Dixon SW,48.85205078,-125.1235657,2024-04-30,6.5,3.5,09:41:00,374,16,1.343582346349445,Deer group/Bamfield
BMSC22,Dixon Inside,48.85426712,-125.1170349,2024-04-30,5.5,2,11:53:00,148,77,0.28109166572179367,Deer group/Bamfield
BMSC23,Aguilar Point,48.837589,-125.144145,2024-05-03,6.7,2.5,12:50:00,454,3,2.05595140532915,Deer group/Bamfield
BMSC24,Swiss Boy,48.921,-125.131174,2024-04-24,5.5,3,13:03:00,214,2,1.855317205195943,Deep Imperial Eagle Channel
BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,10.5,4,13:03:00,238,24,0.9804578922761001,Deep Imperial Eagle Channel
BMSC25,Goby Town,48.843,-125.135015,2024-04-23,5.5,3,14:50:00,203,3,1.7075701760979363,Deer group/Bamfield
BMSC25,Goby Town,48.838595,-125.135015,2024-04-23,6,3,14:48:00,172,17,0.9827735980254894,Deer group/Bamfield
BMSC26,Hosie South,48.912,-125.037017,2024-04-24,6.5,1.5,10:06:00,0,85,-1.9344984512435677,Sarita
BMSC26,Hosie South,48.9071,-125.037017,2024-04-24,8,1.5,10:06:00,1,199,-2,Sarita
BMSC27,San Jose North Island,48.901183,-125.060433,2024-05-03,8.5,3,10:25:00,243,68,0.5485407356014741,Sarita
BMSC3,Ohiat,48.85558319,-125.1837997,2024-04-29,6,3.5,12:23:00,661,69,0.9757599494254431,Deer group/Bamfield
BMSC4,Kii xin,48.81511688,-125.1753311,2024-04-29,8.5,3,10:09:00,279,0,2.4471580313422194,Deer group/Bamfield
BMSC5,Taylor Rock,48.823,-125.198,2024-04-23,6,1.5,09:48:00,506,133,0.5779031609685283,Deer group/Bamfield
BMSC5,Taylor Rock,48.82733154,-125.201,2024-04-23,6.5,1.5,09:50:00,352,178,0.2949216744079294,Deer group/Bamfield
BMSC6,Baeria Rocks South Island,48.95023346,-125.162,2024-04-22,8,1.5,12:43:00,635,99,0.8034571156484139,Deep Imperial Eagle Channel
BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,11,1.5,12:45:00,360,3,1.9554472105776954,Deep Imperial Eagle Channel
BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.146,2024-04-22,7.5,1,10:10:00,482,362,0.12404050571539964,Deep Imperial Eagle Channel
BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,8.5,1.5,10:12:00,467,152,0.4855544222565252,Deep Imperial Eagle Channel
BMSC9,Eagle Bay,48.83478928,-125.1470261,2024-04-23,6.5,2,12:36:00,201,1,2.0043213737826426,Deer group/Bamfield
