Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,Depth,sn_urch_ratio,Snails,Urchins
BMSC1,Dodger Channel,48.828733,-125.197933,26/04/2021,2.5,NE,12:17:00,6.5,0.2217573221757322,53,239
BMSC1,Dodger Channel,48.82895,-125.197567,26/04/2021,2.5,NE,10:30:00,5.5,0.6363636363636364,196,308
BMSC10,Ross Islets Slug island,48.870517,-125.16035,30/04/2021,4,W,12:50:00,4,0.011049723756906077,4,362
BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2021,7,SW,10:30:00,5.5,0.2243150684931507,131,584
BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2021,6,NE,12:20:00,5.5,0.0034403669724770644,3,872
BMSC13,Effingham West,48.865033,-125.313717,04/05/2021,4,W,10:30:00,4.8,14.524390243902438,1191,82
BMSC14,Effingham Archipelago,48.879083,-125.2974,04/05/2021,4,SE,13:00:00,6,0.6666666666666666,208,312
BMSC15,Raymond Kelp Rock,48.880283,-125.312883,04/05/2021,2,SW,14:30:00,7,NA,54,NA
BMSC16,Faber Islets,48.8907,-125.3005,05/05/2021,3,NW,10:35:00,6,0.11162790697674418,48,430
BMSC17,Wouwer Channel,48.865483,-125.361483,05/05/2021,3,NE,12:45:00,5,0.8017241379310345,186,232
BMSC18,Eussen Rock,48.911617,-125.267033,05/05/2021,4,SW,14:45:00,7.5,0.18716577540106952,35,187
BMSC19,Ed King SW Pyramid,48.8286,-125.2213,06/05/2021,2.5,W,10:40:00,8,0.0017513134851138354,1,571
BMSC2,Kirby,48.8504,-125.198767,27/04/2021,4,N,10:30:00,4.5,0.05576923076923077,29,520
BMSC20,Ed King East,48.835667,-125.2148,06/05/2021,2.5,NW,12:20:00,7,0.0012626262626262627,1,792
BMSC21,Dixon SW,48.85205,-125.123567,20/05/2021,0.5,E,10:40:00,5,0.03717472118959108,20,538
BMSC22,Dixon Inside,48.854267,-125.117033,20/05/2021,1,E,12:55:00,6.5,0.07894736842105263,9,114
BMSC3,Ohiat,48.855583,-125.1838,27/04/2021,5,W,12:39:00,5.5,0.004454342984409799,4,898
BMSC4,Kii xin,48.815117,-125.175333,28/04/2021,2,NE,12:30:00,7.5,NA,NA,365
BMSC5,Taylor Rock,48.827333,-125.1966,28/04/2021,4,W,14:50:00,6.5,0.11222444889779559,56,499
BMSC6,Baeria Rocks South Island,48.950233,-125.15555,29/04/2021,8,SW,10:30:00,7,0.06832298136645963,22,322
BMSC7,Baeria Rocks North Island Southside,48.954644,-125.153993,29/04/2021,6,SE,13:10:00,5,0.10140845070422536,36,355
BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,29/04/2021,6,SE,15:20:00,9,0.10070921985815603,71,705
BMSC9,Eagle Bay,48.834788,-125.147024,30/04/2021,3.5,SW,10:30:00,6,0.004291845493562232,1,233
