site_code,latitude,longitude,depth,site_name,survey_date,visibility,hour,Urchins,Turban_Snails,urch_sn_ratio,sst,dominant_score,secondary_score,avg_fetch
BMSC1,48.82894897,-125.1975708,5,Dodger Channel,2024-04-25,3,14:17:00,452,274,0.2167655081825692,11.390787711976088,4,3,172.10715673323787
BMSC1,48.82894897,-125.1975708,6.5,Dodger Channel,2024-04-25,3,14:17:00,264,260,0.006605366598526848,11.390787711976088,4,3,172.10715673323787
BMSC10,48.87051773,-125.160347,4.5,Ross Islets Slug Island,2024-04-26,2,14:06:00,180,7,1.354588587877241,11.721158256732622,3,4,22.999210233213873
BMSC11,48.85746765,-125.1582336,5,Wizard Island South,2024-04-26,1.5,11:48:00,661,262,0.40090224094994203,11.721158256732622,4,2,3791.591739776069
BMSC11,48.85746765,-125.1582336,7.5,Wizard Island South,2024-04-26,1.5,11:48:00,400,33,1.0716654555779273,11.721158256732622,4,2,3791.591739776069
BMSC12,48.858284,-125.1609192,4.5,Wizard Island North,2024-04-26,2.5,09:29:00,709,8,1.8970158392797505,11.721158256732622,4,3,3148.816604060414
BMSC12,48.858284,-125.1609192,7,Wizard Island North,2024-04-26,2,09:29:00,466,34,1.1252488362158366,11.721158256732622,4,3,3148.816604060414
BMSC13,48.8650322,-125.3137207,3,Effingham West,2024-05-01,3,14:53:00,377,645,-0.23274071815785877,11.619570809823529,4,3,133.63715387772615
BMSC14,48.87908173,-125.2974014,6,Effingham Archipelago,2024-05-01,4,09:49:00,252,165,0.18301243313576285,11.673882410765998,4,3,119.1252763608397
BMSC15,48.88028336,-125.3128815,6.5,Raymond Kelp Rock,2024-05-01,2.5,12:17:00,5,237,-1.5984257066728682,11.619570809823529,4,2,180.3115348048317
BMSC16,48.89070129,-125.300499,7.5,Faber Islets,2024-05-02,3,09:50:00,328,62,0.7178553484963927,11.619570809823529,3,3,1205.6786792815951
BMSC17,48.86548233,-125.3614807,5.8,Wouwer Channel,2024-05-02,2.5,15:10:00,171,191,-0.047772781796000675,11.542904114092494,4,3,7.208425384774038
BMSC18,48.91161728,-125.2670364,8.5,Eussen Rock,2024-05-02,3,11:39:00,185,45,0.6067551125363423,11.92390921456473,4,3,304.59098041236854
BMSC19,48.82860184,-125.2212982,8.5,Ed King SW Pyramid,2024-04-25,3,12:06:00,271,0,2.4345689040341987,11.40007353283113,4,3,110.25494193436624
BMSC2,48.85039902,-125.1987686,4,Kirby,2024-04-29,3.5,14:51:00,472,275,0.2339520586725939,11.721158256732622,3,4,169.77321382286613
BMSC20,48.83566666,-125.214798,6.7,Ed King East,2024-04-25,3.5,09:58:00,475,2,2.2004856980008305,11.40007353283113,4,3,38.369250913944725
BMSC21,48.85205078,-125.1235657,6.5,Dixon SW,2024-04-30,3.5,09:41:00,374,16,1.343582346349445,11.72057600071821,4,3,236.9526909694299
BMSC22,48.85426712,-125.1170349,5.5,Dixon Inside,2024-04-30,2,11:53:00,148,77,0.28109166572179367,11.72057600071821,3,4,106.4102102301602
BMSC23,48.837589,-125.144145,6.7,Aguilar Point,2024-05-03,2.5,12:50:00,454,3,2.05595140532915,11.385417425569415,4,3,297.0056850515487
BMSC24,48.916073,-125.131174,10.5,Swiss Boy,2024-04-24,4,13:03:00,238,24,0.9804578922761001,11.9449411543589,4,3,2031.6044772320604
BMSC24,48.916073,-125.131174,5.5,Swiss Boy,2024-04-24,3,13:03:00,214,2,1.855317205195943,11.9449411543589,4,3,2031.6044772320604
BMSC25,48.838595,-125.135015,5.5,Goby Town,2024-04-23,3,14:50:00,203,3,1.7075701760979363,11.385417425569415,3,3,254.73291106334122
BMSC25,48.838595,-125.135015,6,Goby Town,2024-04-23,3,14:48:00,172,17,0.9827735980254894,11.385417425569415,3,4,254.73291106334122
BMSC26,48.9071,-125.037017,6.5,Hosie South,2024-04-24,1.5,10:06:00,0,85,-1.9344984512435677,11.829781781554857,4,2,2685.39370392217
BMSC26,48.9071,-125.037017,8,Hosie South,2024-04-24,1.5,10:06:00,1,199,-2,11.829781781554857,4,3,2685.39370392217
BMSC27,48.901183,-125.060433,8.5,San Jose North Island,2024-05-03,3,10:25:00,243,68,0.5485407356014741,11.892401591306054,4,3,1946.9312230666565
BMSC3,48.85558319,-125.1837997,6,Ohiat,2024-04-29,3.5,12:23:00,661,69,0.9757599494254431,11.721158256732622,4,3,4.260609597834963
BMSC4,48.81511688,-125.1753311,8.5,Kii xin,2024-04-29,3,10:09:00,279,0,2.4471580313422194,11.390787711976088,4,2,6.923099315296802
BMSC5,48.82733154,-125.1966019,6,Taylor Rock,2024-04-23,1.5,09:48:00,506,133,0.5779031609685283,11.390787711976088,3,4,3288.6034436610394
BMSC5,48.82733154,-125.1966019,6.5,Taylor Rock,2024-04-23,1.5,09:50:00,352,178,0.2949216744079294,11.390787711976088,4,3,3288.6034436610394
BMSC6,48.95023346,-125.1555481,11,Baeria Rocks South Island,2024-04-22,1.5,12:45:00,360,3,1.9554472105776954,12.077930381815293,4,3,43.70120517716979
BMSC6,48.95023346,-125.1555481,8,Baeria Rocks South Island,2024-04-22,1.5,12:43:00,635,99,0.8034571156484139,12.077930381815293,4,3,43.70120517716979
BMSC8,48.95508194,-125.1533737,7.5,Baeria Rocks North Island Northside,2024-04-22,1,10:10:00,482,362,0.12404050571539964,12.077930381815293,3,4,11.49236749467264
BMSC8,48.95508194,-125.1533737,8.5,Baeria Rocks North Island Northside,2024-04-22,1.5,10:12:00,467,152,0.4855544222565252,12.077930381815293,4,3,11.49236749467264
BMSC9,48.83478928,-125.1470261,6.5,Eagle Bay,2024-04-23,2,12:36:00,201,1,2.0043213737826426,11.385417425569415,3,4,46.255635264258615
