site_code,latitude,longitude,depth,site_name,survey_date,visibility,hour,Urchins,Turban_Snails,urch_sn_ratio,sst,dominant_score,secondary_score,openness,norm_openness,region1,region2,region3,region4,mean_app_fishing_hours,mean_rec_boat_counts_500m,mean_rec_boat_counts_1km,mean_rec_boat_counts_1.5km,mean_rec_boat_counts_750m,mean_rec_boat_counts_2km,mean_total_boat_counts_1km,mean_total_boat_counts_1.5km,mean_total_boat_counts_2km
BMSC1,48.82894897,-125.1975708,5,Dodger Channel,2024-04-25,3,14:17:00,452,274,0.2167655081825692,11.390787711976088,4,3,1989438.4648442953,0.48888538401635445,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0,0,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.3333333333333335,1,2,3
BMSC1,48.82894897,-125.1975708,6.5,Dodger Channel,2024-04-25,3,14:17:00,264,260,0.006605366598526848,11.390787711976088,4,3,1989438.4648442953,0.48888538401635445,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0,0,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.3333333333333335,1,2,3
BMSC10,48.87051773,-125.160347,4.5,Ross Islets Slug Island,2024-04-26,2,14:06:00,180,7,1.354588587877241,11.721158256732622,3,4,51190.227129017985,0.012579506373328844,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,1.4000000000000001,1.3333333333333333,3.3333333333333335,20,1.3333333333333333,97.33333333333333,4.666666666666667,24,107
BMSC11,48.85746765,-125.1582336,5,Wizard Island South,2024-04-26,1.5,11:48:00,661,262,0.40090224094994203,11.721158256732622,4,2,112161.24397491892,0.027562547825133097,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0.5033333333333333,0,0.6666666666666666,3,0.6666666666666666,22.666666666666668,2,7,29
BMSC11,48.85746765,-125.1582336,7.5,Wizard Island South,2024-04-26,1.5,11:48:00,400,33,1.0716654555779273,11.721158256732622,4,2,112161.24397491892,0.027562547825133097,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0.5033333333333333,0,0.6666666666666666,3,0.6666666666666666,22.666666666666668,2,7,29
BMSC12,48.858284,-125.1609192,4.5,Wizard Island North,2024-04-26,2.5,09:29:00,709,8,1.8970158392797505,11.721158256732622,4,3,1444360.8173269683,0.35493779039420353,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0.5033333333333333,0.6666666666666666,1.3333333333333333,8.333333333333334,0.6666666666666666,54,2.3333333333333335,12.333333333333334,61.333333333333336
BMSC12,48.858284,-125.1609192,7,Wizard Island North,2024-04-26,2,09:29:00,466,34,1.1252488362158366,11.721158256732622,4,3,1444360.8173269683,0.35493779039420353,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0.5033333333333333,0.6666666666666666,1.3333333333333333,8.333333333333334,0.6666666666666666,54,2.3333333333333335,12.333333333333334,61.333333333333336
BMSC13,48.8650322,-125.3137207,3,Effingham West,2024-05-01,3,14:53:00,377,645,-0.23274071815785877,11.619570809823529,4,3,29899.37525032231,0.007347484131532033,Broken Group,Broken Group,Broken Group,Broken Group,0.3566666666666667,0,0,30.666666666666668,0,67.33333333333333,0,30.666666666666668,68.33333333333333
BMSC14,48.87908173,-125.2974014,6,Effingham Archipelago,2024-05-01,4,09:49:00,252,165,0.18301243313576285,11.673882410765998,4,3,226583.5421684089,0.05568072799550409,Broken Group,Broken Group,Broken Group,Broken Group,2.61,0,4.666666666666667,45.666666666666664,0.3333333333333333,57.666666666666664,5,46.666666666666664,59
BMSC15,48.88028336,-125.3128815,6.5,Raymond Kelp Rock,2024-05-01,2.5,12:17:00,5,237,-1.5984257066728682,11.619570809823529,4,2,103479.3206398717,0.025429048599768866,Broken Group,Broken Group,Broken Group,Broken Group,8.253333333333334,0,0,0,0,0,0,0,0
BMSC16,48.89070129,-125.300499,7.5,Faber Islets,2024-05-02,3,09:50:00,328,62,0.7178553484963927,11.619570809823529,3,3,824979.7507850755,0.20273084561067042,Broken Group,Broken Group,Broken Group,Broken Group,0.75,0,0,0,0,0,0,0,0
BMSC17,48.86548233,-125.3614807,5.8,Wouwer Channel,2024-05-02,2.5,15:10:00,171,191,-0.047772781796000675,11.542904114092494,4,3,29300.815189917317,0.007200393748914518,Broken Group,Broken Group,Broken Group,Broken Group,0.21666666666666667,0,0,0.6666666666666666,0,1,0,1,1.6666666666666667
