site_code,latitude,longitude,depth,site_name,survey_date,visibility,hour,Urchins,Turban_Snails,urch_sn_ratio,sn_urch_ratio,urchin_dens,snail_dens,sst,dominant_score,secondary_score,openness,norm_openness,mean_rec_boat_counts_1km,mean_rec_boat_counts_1.5km,mean_rec_boat_counts_2km,region1,region2,region3,region4
BMSC1,48.82894897,-125.1975708,5,Dodger Channel,2024-04-25,3,14:17:00,452,274,0.2167655081825692,-0.21676550818256923,4.52,2.74,11.390787711976088,4,3,1989438.4648442953,0.48888538401635445,0.6666666666666666,1.3333333333333333,2.3333333333333335,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC1,48.82894897,-125.1975708,6.5,Dodger Channel,2024-04-25,3,14:17:00,264,260,0.006605366598526848,-0.006605366598526887,2.64,2.6,11.390787711976088,4,3,1989438.4648442953,0.48888538401635445,0.6666666666666666,1.3333333333333333,2.3333333333333335,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC10,48.87051773,-125.160347,4.5,Ross Islets Slug Island,2024-04-26,2,14:06:00,180,7,1.354588587877241,-1.354588587877241,1.8,0.07,11.721158256732622,3,4,51190.227129017985,0.012579506373328844,3.3333333333333335,20,97.33333333333333,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC11,48.85746765,-125.1582336,5,Wizard Island South,2024-04-26,1.5,11:48:00,661,262,0.40090224094994203,-0.40090224094994203,6.61,2.62,11.721158256732622,4,2,112161.24397491892,0.027562547825133097,0.6666666666666666,3,22.666666666666668,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC11,48.85746765,-125.1582336,7.5,Wizard Island South,2024-04-26,1.5,11:48:00,400,33,1.0716654555779273,-1.0716654555779273,4,0.33,11.721158256732622,4,2,112161.24397491892,0.027562547825133097,0.6666666666666666,3,22.666666666666668,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC12,48.858284,-125.1609192,4.5,Wizard Island North,2024-04-26,2.5,09:29:00,709,8,1.8970158392797505,-1.8970158392797505,7.09,0.08,11.721158256732622,4,3,1444360.8173269683,0.35493779039420353,1.3333333333333333,8.333333333333334,54,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC12,48.858284,-125.1609192,7,Wizard Island North,2024-04-26,2,09:29:00,466,34,1.1252488362158366,-1.1252488362158366,4.66,0.34,11.721158256732622,4,3,1444360.8173269683,0.35493779039420353,1.3333333333333333,8.333333333333334,54,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC13,48.8650322,-125.3137207,3,Effingham West,2024-05-01,3,14:53:00,377,645,-0.23274071815785877,0.23274071815785877,3.77,6.45,11.619570809823529,4,3,29899.37525032231,0.007347484131532033,0,30.666666666666668,67.33333333333333,Broken Group,Broken Group,Broken Group,Broken Group
BMSC14,48.87908173,-125.2974014,6,Effingham Archipelago,2024-05-01,4,09:49:00,252,165,0.18301243313576285,-0.18301243313576282,2.52,1.65,11.673882410765998,4,3,226583.5421684089,0.05568072799550409,4.666666666666667,45.666666666666664,57.666666666666664,Broken Group,Broken Group,Broken Group,Broken Group
BMSC15,48.88028336,-125.3128815,6.5,Raymond Kelp Rock,2024-05-01,2.5,12:17:00,5,237,-1.5984257066728682,1.5984257066728682,0.05,2.37,11.619570809823529,4,2,103479.3206398717,0.025429048599768866,0,0,0,Broken Group,Broken Group,Broken Group,Broken Group
BMSC16,48.89070129,-125.300499,7.5,Faber Islets,2024-05-02,3,09:50:00,328,62,0.7178553484963927,-0.7178553484963925,3.28,0.62,11.619570809823529,3,3,824979.7507850755,0.20273084561067042,0,0,0,Broken Group,Broken Group,Broken Group,Broken Group
BMSC17,48.86548233,-125.3614807,5.8,Wouwer Channel,2024-05-02,2.5,15:10:00,171,191,-0.047772781796000675,0.04777278179600068,1.71,1.91,11.542904114092494,4,3,29300.815189917317,0.007200393748914518,0,0.6666666666666666,1,Broken Group,Broken Group,Broken Group,Broken Group
BMSC18,48.91161728,-125.2670364,8.5,Eussen Rock,2024-05-02,3,11:39:00,185,45,0.6067551125363423,-0.6067551125363423,1.85,0.45,11.92390921456473,4,3,63463.6662962733,0.015595586099602056,0,0.6666666666666666,29.333333333333332,Broken Group,Broken Group,Broken Group,Broken Group
BMSC19,48.82860184,-125.2212982,8.5,Ed King SW Pyramid,2024-04-25,3,12:06:00,271,0,2.4345689040341987,-2.4345689040341987,2.71,0,11.40007353283113,4,3,4069335.1241151923,1,1.6666666666666667,10,20,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group
